,0,1,2,3,4,5
0,1,100,0.001,1.511624861851183e-16,0.08196113934043764,0.0591333428176222
1,2,100,0.005,6.381710055796609e-16,0.3116300772562088,0.2032922924846837
2,3,100,0.01,1.0216455941938338e-15,0.4675047706350573,0.2642506276058969
3,4,100,0.05,1.2088300113558767e-15,0.7632247329188707,0.12263863446366811
4,5,100,0.1,9.655328136874323e-16,0.8474141998555496,0.038551668475585686
5,6,100,0.5,8.249378676645149e-16,0.8764089617641494,0.009556911368126236
6,7,100,1.0,8.207218308621405e-16,0.8764092235248583,0.00955664960738794
7,8,100,5.0,1.5294120544197214e+73,-1.2655362447286417e+88,-1.2655362447286417e+88
8,9,100,10.0,1.0034562278920533e+106,-8.900021951304869e+120,-8.900021951304869e+120
